timestamp,ipSrc,ipDst,tcpPortSrc,tcpPortDst,udpPortSrc,udpPortDst,tcpLen,udpLen,payloadProtocolNumber
1584567412.651823,10.10.0.10,173.194.188.6,,,42148,443,0,1358,17
1584567412.6523304,10.10.0.10,173.194.188.6,,,42148,443,0,855,17
1584567412.6527276,10.10.0.10,173.194.188.6,,,42148,443,0,736,17
1584567412.6574569,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567412.659974,10.10.0.10,173.194.188.6,,,42148,443,0,1358,17
1584567412.6603556,10.10.0.10,173.194.188.6,,,42148,443,0,1358,17
1584567412.660383,10.10.0.10,173.194.188.6,,,42148,443,0,233,17
1584567412.667706,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567412.6699731,10.10.0.10,173.194.188.6,,,42148,443,0,36,17
1584567412.6899972,173.194.188.6,10.10.0.10,,,443,42148,0,31,17
1584567412.691017,173.194.188.6,10.10.0.10,,,443,42148,0,372,17
1584567412.697512,173.194.188.6,10.10.0.10,,,443,42148,0,767,17
1584567412.700066,10.10.0.10,173.194.188.6,,,42148,443,0,36,17
1584567412.71033,173.194.188.6,10.10.0.10,,,443,42148,0,26,17
1584567412.7107005,10.10.0.10,173.194.188.6,,,42148,443,0,47,17
1584567412.7112892,173.194.188.6,10.10.0.10,,,443,42148,0,372,17
1584567412.712598,10.10.0.10,173.194.188.6,,,42148,443,0,36,17
1584567412.7217252,10.10.0.10,173.194.188.6,,,42148,443,0,761,17
1584567412.721751,10.10.0.10,173.194.188.6,,,42148,443,0,48,17
1584567412.725894,173.194.188.6,10.10.0.10,,,443,42148,0,28,17
1584567412.7259252,173.194.188.6,10.10.0.10,,,443,42148,0,45,17
1584567412.726109,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567412.729346,10.10.0.10,173.194.188.6,,,42148,443,0,36,17
1584567412.742312,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567412.7645788,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567412.7661939,10.10.0.10,173.194.188.6,,,42148,443,0,36,17
1584567412.78687,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567412.809129,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567412.8160748,10.10.0.10,173.194.188.6,,,42148,443,0,36,17
1584567412.8314028,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567412.8329382,10.10.0.10,173.194.188.6,,,42148,443,0,36,17
1584567412.853683,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567412.8759458,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
